timestamp,cash,mark_value,equity,open_positions,window_id
2023-08-14,99926.96599999997,0.0,99926.96599999997,2,6
2023-08-15,99889.88199999997,0.0,99889.88199999997,0,6
2023-08-16,99889.88199999997,0.0,99889.88199999997,0,6
2023-08-17,99889.88199999997,0.0,99889.88199999997,0,6
2023-08-18,99869.43199999996,0.0,99869.43199999996,1,6
2023-08-21,99850.92599999995,0.0,99850.92599999995,2,6
2023-08-22,99811.96999999996,0.0,99811.96999999996,0,6
2023-08-23,99791.09699999995,0.0,99791.09699999995,1,6
2023-08-24,99761.52449999994,0.0,99761.52449999994,1,6
2023-08-25,99733.75199999993,0.0,99733.75199999993,1,6
2023-08-28,99716.66799999993,0.0,99716.66799999993,2,6
2023-08-29,99680.51099999993,0.0,99680.51099999993,0,6
2023-08-30,99662.31999999992,0.0,99662.31999999992,1,6
2023-08-31,99643.53499999992,0.0,99643.53499999992,2,6
2023-09-01,99625.5059999999,0.0,99625.5059999999,3,6
2023-09-05,99607.0899999999,0.0,99607.0899999999,4,6
2023-09-06,99589.08799999989,0.0,99589.08799999989,5,6
2023-09-07,99570.12299999988,0.0,99570.12299999988,6,6
2023-09-08,99551.49099999986,0.0,99551.49099999986,7,6
2023-09-11,99422.47099999987,0.0,99422.47099999987,0,6
2023-09-12,99404.26199999987,0.0,99404.26199999987,1,6
2023-09-13,99386.52099999986,0.0,99386.52099999986,2,6
2023-09-14,99367.74499999985,0.0,99367.74499999985,3,6
2023-09-15,99313.01899999985,0.0,99313.01899999985,0,6
2023-09-18,99295.15199999984,0.0,99295.15199999984,1,6
2023-09-19,99273.99099999983,0.0,99273.99099999983,2,6
2023-09-20,99226.02499999983,0.0,99226.02499999983,1,6
2023-09-21,99215.84949999984,0.0,99215.84949999984,2,6
2023-09-22,99206.11049999984,0.0,99206.11049999984,3,6
2023-09-25,99160.16499999983,0.0,99160.16499999983,1,6
2023-09-26,99133.91799999983,0.0,99133.91799999983,1,6
2023-09-27,99104.71899999982,0.0,99104.71899999982,1,6
2023-09-28,99084.67399999982,0.0,99084.67399999982,0,6
2023-09-29,99074.00799999983,0.0,99074.00799999983,1,6
2023-10-02,99042.16299999983,0.0,99042.16299999983,1,6
2023-10-03,99012.14949999982,0.0,99012.14949999982,1,6
2023-10-04,98983.90899999983,0.0,98983.90899999983,1,6
2023-10-05,98964.35899999982,0.0,98964.35899999982,2,6
2023-10-06,98945.67299999982,0.0,98945.67299999982,3,6
2023-10-09,98924.51199999981,0.0,98924.51199999981,4,6
2023-10-10,98905.82599999981,0.0,98905.82599999981,5,6
2023-10-11,98808.33699999981,0.0,98808.33699999981,0,6
2023-10-12,98788.0309999998,0.0,98788.0309999998,1,6
2023-10-13,98767.58099999979,0.0,98767.58099999979,2,6
2023-10-16,98749.41699999978,0.0,98749.41699999978,3,6
2023-10-17,98690.49699999978,0.0,98690.49699999978,0,6
2023-10-18,99980.711,0.0,99980.711,1,7
2023-10-19,99961.42199999999,0.0,99961.42199999999,0,7
2023-10-20,99952.40749999999,0.0,99952.40749999999,1,7
2023-10-23,99942.65049999999,0.0,99942.65049999999,2,7
2023-10-24,99906.01199999997,0.0,99906.01199999997,1,7
2023-10-25,99849.19499999998,29.399999999999878,99878.59499999997,1,7
2023-10-26,99810.24499999998,58.799999999999756,99869.04499999998,2,7
2023-10-27,99801.00099999997,58.799999999999756,99859.80099999998,3,7
2023-10-30,99831.45699999998,0.0,99831.45699999998,0,7
2023-10-31,99813.97699999997,0.0,99813.97699999997,1,7
2023-11-01,99796.98299999996,0.0,99796.98299999996,2,7
2023-11-02,99778.56699999995,0.0,99778.56699999995,3,7
2023-11-03,99759.74599999994,0.0,99759.74599999994,4,7
2023-11-06,99741.26699999993,0.0,99741.26699999993,5,7
2023-11-07,99723.90399999992,0.0,99723.90399999992,6,7
2023-11-08,99706.82899999991,0.0,99706.82899999991,7,7
2023-11-09,99686.68499999991,0.0,99686.68499999991,8,7
2023-11-10,99541.91299999991,0.0,99541.91299999991,0,7
2023-11-13,99522.6419999999,0.0,99522.6419999999,1,7
2023-11-14,99503.37099999991,0.0,99503.37099999991,0,7
2023-11-15,99483.9829999999,0.0,99483.9829999999,1,7
2023-11-16,99464.5949999999,0.0,99464.5949999999,0,7
2023-11-17,99464.5949999999,0.0,99464.5949999999,0,7
2023-11-20,99464.5949999999,0.0,99464.5949999999,0,7
2023-11-21,99464.5949999999,0.0,99464.5949999999,0,7
2023-11-22,99464.5949999999,0.0,99464.5949999999,0,7
2023-11-24,99454.9099999999,0.0,99454.9099999999,1,7
2023-11-27,99445.2249999999,0.0,99445.2249999999,0,7
2023-11-28,99445.2249999999,0.0,99445.2249999999,0,7
2023-11-29,99425.7739999999,0.0,99425.7739999999,1,7
2023-11-30,99397.4029999999,0.0,99397.4029999999,1,7
2023-12-01,99388.2579999999,0.0,99388.2579999999,2,7
2023-12-04,99379.4684999999,0.0,99379.4684999999,3,7
2023-12-05,99352.6139999999,0.0,99352.6139999999,0,7
2023-12-06,99333.7299999999,0.0,99333.7299999999,1,7
2023-12-07,99314.84599999989,0.0,99314.84599999989,0,7
2023-12-08,99305.38599999988,0.0,99305.38599999988,1,7
2023-12-11,99296.73149999988,0.0,99296.73149999988,2,7
2023-12-12,99287.58649999987,0.0,99287.58649999987,3,7
2023-12-13,99277.81149999987,0.0,99277.81149999987,4,7
2023-12-14,99240.77699999986,0.0,99240.77699999986,0,7
2023-12-15,99240.77699999986,0.0,99240.77699999986,0,7
2023-12-18,99240.77699999986,0.0,99240.77699999986,0,7
2023-12-19,99231.29899999985,0.0,99231.29899999985,1,7
2023-12-20,99204.28699999985,0.0,99204.28699999985,1,7
2023-12-21,99178.23799999985,0.0,99178.23799999985,1,7
2023-12-22,99169.72299999985,0.0,99169.72299999985,0,7
2023-12-26,99159.88049999985,0.0,99159.88049999985,1,7
2023-12-27,99151.00999999985,0.0,99151.00999999985,2,7
2023-12-28,99132.29699999985,0.0,99132.29699999985,0,7
2023-12-29,100000.0,0.0,100000.0,0,8
2024-01-02,99989.3925,0.0,99989.3925,1,8
2024-01-03,99960.774,0.0,99960.774,1,8
2024-01-04,99942.763,0.0,99942.763,0,8
2024-01-05,99921.791,0.0,99921.791,1,8
2024-01-08,99900.819,0.0,99900.819,0,8
2024-01-09,99880.711,0.0,99880.711,1,8
2024-01-10,99860.603,0.0,99860.603,0,8
2024-01-11,99860.603,0.0,99860.603,0,8
2024-01-12,99839.991,0.0,99839.991,1,8
2024-01-16,99820.828,0.0,99820.828,2,8
2024-01-17,99799.66699999999,0.0,99799.66699999999,3,8
2024-01-18,99738.731,0.0,99738.731,0,8
2024-01-19,99730.2745,0.0,99730.2745,1,8
2024-01-22,99721.818,0.0,99721.818,0,8
2024-01-23,99712.205,0.0,99712.205,1,8
2024-01-24,99683.141,0.0,99683.141,1,8
2024-01-25,99653.2535,0.0,99653.2535,1,8
2024-01-26,99642.81700000001,0.0,99642.81700000001,0,8
2024-01-29,99632.6955,0.0,99632.6955,1,8
2024-01-30,99622.57400000001,0.0,99622.57400000001,0,8
2024-01-31,99601.566,0.0,99601.566,1,8
2024-02-01,99570.648,0.0,99570.648,1,8
2024-02-02,99560.8055,0.0,99560.8055,2,8
2024-02-05,99541.053,0.0,99541.053,0,8
2024-02-06,99531.044,0.0,99531.044,1,8
2024-02-07,99520.639,0.0,99520.639,2,8
2024-02-08,99500.22499999999,0.0,99500.22499999999,0,8
2024-02-09,99490.135,0.0,99490.135,1,8
2024-02-12,99480.045,0.0,99480.045,0,8
2024-02-13,99480.045,0.0,99480.045,0,8
2024-02-14,99469.85149999999,0.0,99469.85149999999,1,8
2024-02-15,99461.20599999999,0.0,99461.20599999999,2,8
2024-02-16,99422.82599999999,0.0,99422.82599999999,1,8
2024-02-20,99403.28499999999,0.0,99403.28499999999,0,8
2024-02-21,99394.72949999999,0.0,99394.72949999999,1,8
2024-02-22,99386.30449999998,0.0,99386.30449999998,2,8
2024-02-23,99369.32399999998,0.0,99369.32399999998,0,8
2024-02-26,99351.11499999998,0.0,99351.11499999998,1,8
2024-02-27,99324.22449999997,0.0,99324.22449999997,1,8
2024-02-28,99315.54299999996,0.0,99315.54299999996,0,8
2024-02-29,99315.54299999996,0.0,99315.54299999996,0,8
2024-03-01,99305.02549999996,0.0,99305.02549999996,1,8
2024-03-04,99294.50799999996,0.0,99294.50799999996,0,8
2024-03-05,99294.50799999996,0.0,99294.50799999996,0,8
2024-03-06,99294.50799999996,0.0,99294.50799999996,0,8
2024-03-07,99294.50799999996,0.0,99294.50799999996,0,8
2024-03-08,99276.95599999995,0.0,99276.95599999995,1,8
2024-03-11,99250.42999999995,0.0,99250.42999999995,1,8
2024-03-12,99240.07899999994,0.0,99240.07899999994,2,8
2024-03-13,100000.0,0.0,100000.0,0,9
2024-03-14,99990.42749999999,0.0,99990.42749999999,1,9
2024-03-15,99961.60199999998,0.0,99961.60199999998,1,9
2024-03-18,99944.42799999999,0.0,99944.42799999999,2,9
2024-03-19,99898.13149999999,0.0,99898.13149999999,1,9
2024-03-20,99888.79749999999,0.0,99888.79749999999,2,9
2024-03-21,99852.47399999997,0.0,99852.47399999997,1,9
2024-03-22,99835.35399999998,0.0,99835.35399999998,0,9
2024-03-25,99835.35399999998,0.0,99835.35399999998,0,9
