timestamp_utc,plan_id,symbol,strategy,entry_debit,entry_mid,current_mark,peak_mark,unrealized_pnl,unrealized_pnl_pct,signal,closed,dte
2026-04-07T14:51:12Z,NVDA_20260407_1447,NVDA,,1340.0,1327.0,1325.0,1325.0,-15.0,-1.12,hold,0,24.214
2026-04-07T14:51:24Z,MSFT_20260407_1447,MSFT,,2946.0,2917.0,2917.0,2917.0,-29.0,-0.98,hold,0,24.214
2026-04-07T14:53:03Z,AAPL_20260407_1447,AAPL,,1864.0,1845.0,1812.0,1812.0,-52.0,-2.79,hold,0,24.213
2026-04-07T14:54:16Z,TSLA_20260407_1448,TSLA,,3604.0,3569.0,3527.0,3539.0,-77.0,-2.14,hold,0,24.212
2026-04-07T14:54:28Z,NVDA_20260407_1447,NVDA,,1340.0,1327.0,1328.0,1328.0,-12.0,-0.9,hold,0,24.212
2026-04-07T14:54:44Z,MSFT_20260407_1447,MSFT,,2946.0,2917.0,2917.0,2917.0,-29.0,-0.98,hold,0,24.212
2026-04-07T14:55:16Z,QQQ_20260407_1448,QQQ,,222.0,192.0,192.0,192.0,-30.0,-13.51,hold,0,31.212
2026-04-07T14:55:26Z,AAPL_20260407_1447,AAPL,,1864.0,1845.0,1815.0,1815.0,-49.0,-2.63,hold,0,24.211
2026-04-07T14:56:51Z,TSLA_20260407_1455,TSLA,,3578.0,3543.0,3545.0,3545.0,-33.0,-0.92,hold,0,24.211
2026-04-07T14:57:20Z,META_20260407_1455,META,,5551.0,5496.0,5507.0,5507.0,-44.0,-0.79,hold,0,24.21
2026-04-07T14:57:34Z,MSFT_20260407_1455,MSFT,,2946.0,2917.0,2917.0,2917.0,-29.0,-0.98,hold,0,24.21
2026-04-07T14:57:49Z,NVDA_20260407_1455,NVDA,,1344.0,1330.0,1327.0,1327.0,-17.0,-1.26,hold,0,24.21
2026-04-07T14:58:20Z,QQQ_20260407_1456,QQQ,,222.0,192.0,192.0,192.0,-30.0,-13.51,hold,0,31.209
2026-04-07T14:58:31Z,AAPL_20260407_1454,AAPL,,1762.0,1745.0,1738.0,1738.0,-24.0,-1.36,hold,0,24.209
2026-04-07T14:58:45Z,GOOGL_20260407_1454,GOOGL,,2154.0,2132.0,2132.0,2132.0,-22.0,-1.02,hold,0,24.209
2026-04-07T14:59:59Z,TSLA_20260407_1455,TSLA,,3578.0,3543.0,3545.0,3545.0,-33.0,-0.92,hold,0,24.208
2026-04-07T15:00:28Z,META_20260407_1455,META,,5551.0,5496.0,5507.0,5507.0,-44.0,-0.79,hold,0,24.208
2026-04-07T15:00:44Z,MSFT_20260407_1455,MSFT,,2946.0,2917.0,2917.0,2917.0,-29.0,-0.98,hold,0,24.208
2026-04-07T15:00:58Z,NVDA_20260407_1455,NVDA,,1344.0,1330.0,1335.0,1335.0,-9.0,-0.67,hold,0,24.208
2026-04-07T15:01:56Z,QQQ_20260407_1456,QQQ,,222.0,192.0,192.0,192.0,-30.0,-13.51,hold,0,31.207
2026-04-07T15:02:14Z,AAPL_20260407_1454,AAPL,,1762.0,1745.0,1739.0,1739.0,-23.0,-1.31,hold,0,24.207
2026-04-07T15:02:29Z,GOOGL_20260407_1454,GOOGL,,2154.0,2132.0,2132.0,2132.0,-22.0,-1.02,hold,0,24.207
2026-04-07T15:03:43Z,TSLA_20260407_1455,TSLA,,3578.0,3543.0,3538.0,3545.0,-40.0,-1.12,hold,0,24.206
2026-04-07T15:04:08Z,META_20260407_1455,META,,5551.0,5496.0,5507.0,5507.0,-44.0,-0.79,hold,0,24.205
2026-04-07T15:04:22Z,MSFT_20260407_1455,MSFT,,2946.0,2917.0,2949.0,2949.0,3.0,0.1,hold,0,24.205
2026-04-07T15:04:36Z,NVDA_20260407_1455,NVDA,,1344.0,1330.0,1329.0,1335.0,-15.0,-1.12,hold,0,24.205
2026-04-07T15:05:09Z,QQQ_20260407_1456,QQQ,,222.0,192.0,192.0,192.0,-30.0,-13.51,hold,0,31.205
2026-04-07T15:05:20Z,AAPL_20260407_1454,AAPL,,1762.0,1745.0,1744.0,1744.0,-18.0,-1.02,hold,0,24.205
2026-04-07T15:05:38Z,GOOGL_20260407_1454,GOOGL,,2154.0,2132.0,2132.0,2132.0,-22.0,-1.02,hold,0,24.204
2026-04-07T15:07:00Z,META_20260407_1502,META,,5562.0,5507.0,5507.0,5507.0,-55.0,-0.99,hold,0,24.203
2026-04-07T15:07:20Z,TSLA_20260407_1503,TSLA,,3573.0,3538.0,3550.0,3550.0,-23.0,-0.64,hold,0,24.203
2026-04-07T15:07:33Z,MSFT_20260407_1502,MSFT,,2946.0,2917.0,2935.0,2935.0,-11.0,-0.37,hold,0,24.203
2026-04-07T15:07:47Z,NVDA_20260407_1502,NVDA,,1343.0,1329.0,1324.0,1324.0,-19.0,-1.41,hold,0,24.203
